"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:28 GMT 2022","25721","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:03 GMT 2022","990","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:06 GMT 2022","3220","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:07 GMT 2022","4093","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:03 GMT 2022","6","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:04 GMT 2022","1197","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:03 GMT 2022","640","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:04 GMT 2022","1183","","test.bats","","test.bats","","Scan level 1 archives.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:06 GMT 2022","3283","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:24 GMT 2022","21498","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 12:49:03 GMT 2022","Wed Mar 09 12:49:09 GMT 2022","6101","","test.bats","","test.bats","","Run patch on level1.",""
