"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:15 GMT 2022","752","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:15 GMT 2022","922","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:37 GMT 2022","22053","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:21 GMT 2022","6193","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:44 GMT 2022","29522","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:19 GMT 2022","4312","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:18 GMT 2022","3582","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:15 GMT 2022","812","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:15 GMT 2022","7","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:18 GMT 2022","3793","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 17:36:15 GMT 2022","Wed Mar 09 17:36:16 GMT 2022","1213","","test.bats","","test.bats","","Scan level 1 archives.",""
