"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:34 GMT 2022","839","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:44:07 GMT 2022","33506","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:38 GMT 2022","4262","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:39 GMT 2022","5214","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:41 GMT 2022","7275","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:59 GMT 2022","25877","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:35 GMT 2022","1427","","test.bats","","test.bats","","Scan level 1 archives.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:34 GMT 2022","986","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:37 GMT 2022","3981","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:35 GMT 2022","1107","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 16:43:34 GMT 2022","Wed Mar 09 16:43:34 GMT 2022","8","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
