"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:35 GMT 2022","4365","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:31 GMT 2022","6","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:32 GMT 2022","1117","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:34 GMT 2022","3808","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:53 GMT 2022","22871","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:51:00 GMT 2022","29821","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:32 GMT 2022","1214","","test.bats","","test.bats","","Scan level 1 archives.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:37 GMT 2022","6390","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:34 GMT 2022","3550","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:31 GMT 2022","952","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 16:50:31 GMT 2022","Wed Mar 09 16:50:31 GMT 2022","751","","test.bats","","test.bats","","Create level N archives.",""
