"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:35 GMT 2022","6397","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:58 GMT 2022","29689","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:29 GMT 2022","752","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:30 GMT 2022","1259","","test.bats","","test.bats","","Scan level 1 archives.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:29 GMT 2022","6","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:32 GMT 2022","3796","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:52 GMT 2022","23220","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:32 GMT 2022","3484","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:30 GMT 2022","1002","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:33 GMT 2022","4297","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 13:08:29 GMT 2022","Wed Mar 09 13:08:30 GMT 2022","1121","","test.bats","","test.bats","","Scan level N archives.",""
