"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:33 GMT 2022","28055","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:05 GMT 2022","816","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:09 GMT 2022","4244","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:05 GMT 2022","668","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:05 GMT 2022","909","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:05 GMT 2022","7","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:11 GMT 2022","6161","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:27 GMT 2022","22750","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:06 GMT 2022","1182","","test.bats","","test.bats","","Scan level 1 archives.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:08 GMT 2022","3287","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 15:04:05 GMT 2022","Wed Mar 09 15:04:08 GMT 2022","3464","","test.bats","","test.bats","","Create level 2 archives.",""
