"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:58 GMT 2022","32891","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:32 GMT 2022","6954","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:26 GMT 2022","793","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:51 GMT 2022","25031","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:31 GMT 2022","5005","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:26 GMT 2022","8","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:30 GMT 2022","4309","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:27 GMT 2022","1287","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:30 GMT 2022","4154","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:26 GMT 2022","956","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 18:00:26 GMT 2022","Wed Mar 09 18:00:27 GMT 2022","1572","","test.bats","","test.bats","","Scan level 1 archives.",""
