"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:49 GMT 2022","8","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:53 GMT 2022","4868","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:50 GMT 2022","1100","","test.bats","","test.bats","","Create level 1 archives.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:53 GMT 2022","4009","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:43:13 GMT 2022","24330","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:43:21 GMT 2022","32006","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:50 GMT 2022","1245","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:53 GMT 2022","4038","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:55 GMT 2022","6795","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:49 GMT 2022","788","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 13:42:49 GMT 2022","Wed Mar 09 13:42:50 GMT 2022","1397","","test.bats","","test.bats","","Scan level 1 archives.",""
